ID,Code,Text,Role,Gender
ID1,Mentorship,the MISTER's will go through that training with the teachers. Even if they didn't do anything but that I think that would just be monumental. But they'll go through the training and then participate with the teachers in that program. So that in essence is what our MISTER's program is all about.,Administrator,man
ID1,Mentorship,"we're trying to provide them with, experiences, we provides them with literature, we provide them with case studies, we provide them with those vignettes of what's happening and what's not happening. Again, sometimes the MISTER's don't even realize what's going on. When they're in those classrooms, in the S.T.A.R.S. meeting working with the babies sometimes they don't, well maybe I shouldn't say they don't. Some do and some don't. They don't realize that I am this is call transferal, this is what I've learned and now I'm transferring it to these babies through how I respond to their questions, how I ask them questions, how I even employ my MISTER's to come and discuss with me as I'm working in a group",Administrator,man
ID1,Recruitment,"We have four who are not Mississippi natives but because it's a scholarship program they have to give at least four years back to Mississippi. So as we look globally, I'm using the term loosely, I mean within the south, so in Mississippi, in Georgia and those areas. As we look at the broader community there's so many things that are different but there are so many things that are common. So that's what we're trying to show them in the effort that it will impact them so regardless of where they are during their four years here.",Administrator,man
ID1,Resources,"Yes, they're all designed for, the Through His Eyes program is one where we're bringing another tier to everything that we do. We felt that as we're working grassroots with our MISTER's, with the networks here in the city of Jackson, the Jackson Public School district with the Mississippi Department of Ed, with teachers, with community organizations. We felt that we needed a more national flavor to it. So the Through His Eyes program is one that April 7 and 8th we're going to have national educators, national activists, social activists. We've established a think tank. They're coming to collectively say, okay, with these programs that you have going on, with your teacher ed program at Jackson State, with everything that's going on in the state of Mississippi what is it that we can do. How best can we collectively do it? So in that realm we have Alfred Tatum from the University of Chicago coming. He's the Dean of the College of Education there. We have our state Superintendent of Education, Carey Wright, who serves on the think tank. We have superintendents, local superintendents here from successful and not so successful school districts who are on the think tank. We have our Dean. We have the Deans of all of the HBCU's in the area because we're talking about teacher education and we're talking about making an impact. We have Ivory Toldson from the White House Initiative who will be here. We have David Miller who is renowned for his Raising Him Alone program. We model our S.T.A.R.S. program from his program.",Administrator,man
ID1,Support System,"Absolutely. It is a collaborative partnership traditionally serving school districts, communities that surround those school districts and right now young males of color involved in those districts. We are involved in several community outreach programs because you can't address the needs of the child if you aren't addressing the needs of the families and the communities in which they live. So that's what MLI is currently all about. We do that by providing professional development services for the teachers, enrichment activities for the parents and then we network with several entities or institutions within the communities so that there's a network of support for all, for the students, the parents and then even the various institutes. Even if you're a large institution I think about our collaboration with United Way. The United Way in itself couldn't do what United Way does if it did not have the support of agencies within the community. So we do, that's our mantra, collaboration. So it's collaboration at the various levels to address the needs that ultimately refer back to our children, our students.",Administrator,man
ID1,Support System,"The Call Me MISTER program is one program that was initiated in 2012 here at the university. It is an outgrowth from Clemson University. They're the founder of the program and we have a chapter here. What that is all about, the Call Me MISTER program, is a program that's designed to place more African American males, young males of color, in classrooms. Too often that is the situation. We have so many students who go through an institution that is so important in their lives without seeing the number of males that they should see.",Administrator,man
ID1,Support System,"So it is the intent and purpose of the Call Me MISTER program to do several things, to first address that need, the need for more young males of color in the classrooms. Also to address just young males of color and everything that they encompass just being young males of color. So the Call Me MISTER program addressing the mentoring. So our MISTER's are mentored by professionals, by community representatives, in schools, in businesses, other agencies. They are mentored but they also serve as mentors to our babies. In the Mississippi Learning Institute we have a program that's called S.T.A.R.S. S.T.A.R.S. is an acronym that stands for Sistas Teaching and Raising Sons. Our MISTER's mentor those sons, those young males of color between the ages of zero, and zero being pregnant mothers come but early age up to 9. I think it's 9 or 12. It varies because if we have a mother who fits the original qualification then if she has an older child then we allow her to bring that child on in as well.",Administrator,man
ID1,Support System,"Our MISTER's mentor those students. They also mentor students at the middle school. They will ultimately learn to mentor high school students because that's a part of the goal. It involves mentoring for our MISTER's. It involves exposure. So the traditional teacher ed program the students participate in community service. They participate in the traditional, I guess, situations. We try for the nontraditional. So given that, our MISTER's go to schools. They don't go to just observe. They go and they participate in community service at those schools. They serve as mentors, book buddies, they do ties for tots, different things. So they're gathering a better understanding of the students that will be in their classrooms when they graduate and take on that role as teacher. So we have summer activities that they participate in. We take them places to just make them consciously aware of things. We have the Clemson.",Administrator,man
ID1,Support System,"So the whole MISTER program is founded on brotherhood. So the five MISTER's each year, there's a cohort of five that's inducted into the program. Now we have 15. So they're understanding what brotherhood looks like because they're able to see their mentors mentor them. They're able to go to Clemson and see their graduate MISTER's mentor them and then the mentors who are here prepare them for what do they do when they're working with those babies. We also have literacy specialists who come and work with the MISTER's because we want them to address the academic needs of the babies they're working with. We want them to address the social and emotional needs of the babies that they're working with. So a part of that whole big networking system that we have we have a program of trainers who come to help them talk about the social things that the babies go through, the young males, well because they're both males and females in the program. With our S.T.A.R.S. program it's designed for single moms with sons but if a mother qualifies and has a girl then we allow the girl to come onboard. So that's the premise of the MISTER program. It's all about mentoring. It's all about being aware, of being compassionate, having the capacity to address the needs of all of those students that you'll come in contact with as a teacher. We do that from beginning to end. We're even starting this summer we have a national dropout prevention program. It's an accelerated program for our MISTER's. So they're going to go through professional development training with second and third grade teachers. As a result of the training that they are going to be exposed to then they will co-teach, in a loose sense of the word, with teachers who will go through the training. They will be in the classrooms with second graders while the third graders are taking what we call third grade gate, that third grade test that they must pass in order to be promoted.",Administrator,man
ID1,Support System,"Call Me MISTER is one of the programs that the institute, Mississippi Learning Institute, sponsors. So we're the big umbrella. We've got Call Me MISTER, we've got S.T.A.R.S., we've got national dropout prevention, we've got Through His Eyes and we've got another one that I'm failing to remember but that's the umbrella. We're the institute and we house, we direct, we organize these various programs. Under the umbrella, the bigger umbrella is the College of Education.",Administrator,man
ID1,Support System,"Yes, they're all designed for, the Through His Eyes program is one where we're bringing another tier to everything that we do. We felt that as we're working grassroots with our MISTER's, with the networks here in the city of Jackson, the Jackson Public School district with the Mississippi Department of Ed, with teachers, with community organizations. We felt that we needed a more national flavor to it. So the Through His Eyes program is one that April 7 and 8th we're going to have national educators, national activists, social activists. We've established a think tank. They're coming to collectively say, okay, with these programs that you have going on, with your teacher ed program at Jackson State, with everything that's going on in the state of Mississippi what is it that we can do. How best can we collectively do it? So in that realm we have Alfred Tatum from the University of Chicago coming. He's the Dean of the College of Education there. We have our state Superintendent of Education, Carey Wright, who serves on the think tank. We have superintendents, local superintendents here from successful and not so successful school districts who are on the think tank. We have our Dean. We have the Deans of all of the HBCU's in the area because we're talking about teacher education and we're talking about making an impact. We have Ivory Toldson from the White House Initiative who will be here. We have David Miller who is renowned for his Raising Him Alone program. We model our S.T.A.R.S. program from his program.",Administrator,man
ID8,Campus Environment,"I would tell you yes. Jackson State University graduates the majority of the teachers in this metro and beyond area. You will find them in some of the largest public school systems and especially Jackson Public Schools. We add some public schools all the time. So, yes, we graduate many, many students for the public schools.",Administrator,man
ID8,Campus Environment,"here are some students who get into the teacher education programs who have been underprepared based on the experiences that they have had in their previous public schools or private. Then there are other students who are included, transfer students, because they get a large transfer population, who come and seem to be a little bit more ready for the rigor, if you will",Administrator,man
ID8,Campus Environment,"If I were to describe Jackson State I would say Jackson State is one of the, well, among the top HBCU's that is striving to develop an image that will be appealing to people period. That's where we're going. We're interested in a global education. We've invested a lot of money in international programs here. We are technology infused. In fact, the former position that I had was just the Dean of Undergraduate Studies. Now with the emphasis on technology and everything that position was repurposed to be the Dean of Undergraduate Students and Cyber Learning. So if you were to visit our library you would see that it's no longer traditional as we know. The first floor is all about how you use technology to improve the teaching and learning process, all the way from innovate, that's an area that teachers can do stuff, create, students can do things and then the faculty development. So Jackson State is really a place now that is getting a whole lot hits about its whole technology infrastructure, its emphasis on engineering because we offer a degree all the way from bachelors to the doctorate. We are looking at the plant facility, the physical facility of this place, how important that is in terms of people making decisions about if I want to matriculate here or if I want my child to matriculate here, how you're concerned about where the kids are going to learn. If there is living and learning where they will learn. So Jackson State is headed in that direction. Last year our enrollment grew 4.5% and that's unusual in the state of Mississippi. So Jackson State has a part of its master plan to have the enrollment of 15,000 in three years, I believe. 
",Administrator,man
ID8,Campus Environment,"So I'm thinking that's what you would think. We are more community focused than we were say five years ago. Back to the outreach part, Jackson State has really, our leadership now believes that the community plays a real role in helping the university to realize its potential. So we have, like I said, that's our part in the school, Blackburn Laboratory Middle School, which is within walking distance. Then, of course, we have sites, we have downtown campus where we're housing the Institute of Covenant and some social work programs, the public service kind of thing. Then",Administrator,man
ID8,Campus Environment,I also think that mentioned how we have a large number of students in the STEM fields and those students are doing outstanding internships with the various agencies. I think you would mention the public service part which ties in with Blueprint for Mississippi.,Administrator,man
ID8,Challenges,"As you know, in Mississippi the schools are rated in terms of the students' performance on certain standardized measures. And based on how they perform on those assessments that school can be rated either high or low. One of the challenges for the public schools is keeping those ratings above where we can become recognized as a state who really, really prepares students because that's really what those ratings say to the greater community and to the greater work. So one of the challenges is how can the university or how can the College of Education carry this current pedagogy, instructional practices, use of technology in teaching and learning to where the problems are? And that's in the public schools to help them to retool or repurpose those teachers so that they can ensure and they can know when students have truly learned something. How can you move away from the public schools just giving this rote kind of memory kind of thing that has really no application for students and they progress up the ladder.",Administrator,man
ID8,Challenges,"Our challenge is how do we get more students who are in teacher education to be successful on these licensure assessments the first time around. That's a challenge that we see. The very first time how can we tie that in so closely with all the teacher ed courses that we are monitoring that as we go along. Do you see what I'm saying, so that students will not sit more than once, at least no more than twice for a test when you have taken the courses. I recognize and as I said earlier some of the students come in further behind than others. So I think there needs to be somewhere that can meld into what I'm doing in my coursework. So that's a challenge.",Administrator,man
ID8,Challenges,"Another thing, another challenge that we have is retaining faculty for the long haul. You may have faculty up there who have been there for the long haul but a lot of them are not in the teacher education area. So now one thing that has helped with that is we have a new chair in early childhood and elementary education who has come from one of our sister schools, Ole Miss, and are energetic, ready to bring what she learned from elsewhere or from preparation. So we hope to see a turnaround with that but that's a challenge that we have. So I'm not sitting here saying all our students are passing the test the first time they take it. I know they don't. They eventually do because you can't graduate unless you do.",Administrator,man
ID8,Challenges,Then the other challenge for some of the students who began the matriculation may move to a nonteaching field because I want to graduate. Surely this is not the first time you've hear it. I want to graduate. Then I may come back and take those courses and come to teaching like that. I prefer that you finish your program that you came for rather than just graduating. But that's one of the challenges that we see.,Administrator,man
ID8,Challenges,I think one of the biggest problems is taking that information that I have and answering the questions. That's what I think is one of the things. The other thing I think has to do with your preparation in mathematics. A lot of students take the last number of course in high school in math and they need to take the most. So I know math gets them sometimes and I also know doing that analytical thing.,Administrator,man
ID8,Challenges,"listening to the theories, the how you manage a class and then be able to take that and use it to answer those questions. That's one way. Then the other thing that I see is I don't think we teach the young kids but I don't think we teach the rules of grammar anymore, you know what I'm saying, the language anymore. I think it is expected that we just learn it through some other ways and those questions are on that test.",Administrator,man
ID8,Challenges,"I saw so many students that I taught in high school. They're grown and everything but this guy came to me and he said are you still having the students to conjugate the verb to be? You know I've never learned how to conjugate that verb. I said, no, I don't teach that anymore but he remembered. He said, yes, I remember. He really made me a better writer. I didn't do the to be verb but I did some of the other verbs. I thought that was interesting because that had to have been 25 years ago. So that was interesting. But back to what you were saying, I think those are some of the problems. You must know how the language is put together and you must be able to know what is the overarching thought here and you must be able to pick out that that has nothing to do with that. So aligning the curriculum with the things that they must have may be one of the problems. The Praxis probably won't set in but they may be one of the problems.",Administrator,man
ID8,Clinical Work or Student Teaching,students are advised and are taken the courses in a sequential order so that those skills build.,Administrator,man
ID8,Community Service,"We are more community focused than we were say five years ago. Back to the outreach part, Jackson State has really, our leadership now believes that the community plays a real role in helping the university to realize its potential. So we have, like I said, that's our part in the school, Blackburn Laboratory Middle School, which is within walking distance. Then, of course, we have sites, we have downtown campus where we're housing the Institute of Covenant and some social work programs, the public service kind of thing. Then in Madison we have a campus and then we also have several",Administrator,man
ID8,Experience attending MSI,"I would tell you yes. Jackson State University graduates the majority of the teachers in this metro and beyond area. You will find them in some of the largest public school systems and especially Jackson Public Schools. We add some public schools all the time. So, yes, we graduate many, many students for the public schools.",Administrator,man
ID8,Faculty,"these are traditional things I'm talking about I know they use technology. They use, as I said, current practices. They use experts to come in to the various conferences and to share what needs to be done. They are currently sending faculty to be developed because you know if you've been somewhere a long time you may think what you learned but that's one of the things that they are currently doing.",Administrator,man
ID8,Future Plans,"Last year our enrollment grew 4.5% and that's unusual in the state of Mississippi. So Jackson State has a part of its master plan to have the enrollment of 15,000 in three years, I believe.",Administrator,man
ID8,Job Counseling,"I would tell you yes. Jackson State University graduates the majority of the teachers in this metro and beyond area. You will find them in some of the largest public school systems and especially Jackson Public Schools. We add some public schools all the time. So, yes, we graduate many, many students for the public schools.",Administrator,man
ID8,Opportunities,"All of our programs that can be accredited or -0:28:35-, those that cannot be are going through what we call the academic program review, especially the graduate programs, bringing in experts in the field to tell us how can we improve them so that we don't leave those that don't have enough credits behind and don't work with them to try to make sure that growth is accelerated there.",Administrator,man
ID8,Recruitment,"Last year our enrollment grew 4.5% and that's unusual in the state of Mississippi. So Jackson State has a part of its master plan to have the enrollment of 15,000 in three years, I believe.",Administrator,man
ID8,Reflection,"Now with the emphasis on technology and everything that position was repurposed to be the Dean of Undergraduate Students and Cyber Learning. So if you were to visit our library you would see that it's no longer traditional as we know. The first floor is all about how you use technology to improve the teaching and learning process, all the way from innovate, that's an area that teachers can do stuff, create, students can do things and then the faculty development.",Administrator,man
ID8,Resources,arge number of students in the STEM fields and those students are doing outstanding internships with the various agencies. I think you would mention the public service part which ties in with Blueprint for Mississippi. We have all of the ills in Mississippi. You name a chronic illness it's here in Mississippi. So the blueprint speaks to how can we eliminate these disparities through education. So public service is doing that and it's out in the community,Administrator,man
ID8,Resources,"You need to go now. Now. It's different. Like I was saying that whole first floor is dedicated to making sure, if you're saying to -0:34:35- we would like for you to use technology then you have to develop things and all the professional development. If you're saying to the students we want your presentations to be of the highest level, not just a PowerPoint presentation, then you have to provide that. And that's called Create in the library and there's a beautiful lab there. There are labs all over the campus but that is like a common lab that's bordered by Starbucks, get some coffee and do that.",Administrator,man
ID8,Retention,"It's right at 10 right now. So if we can maintain the growth because we're trying to get 1,500 first time students by fall of 2015 and then to retain a very, very high percentage of those that we already have as a part of that overall plan.",Administrator,man
ID8,Standardized Testing,"in Mississippi the schools are rated in terms of the students' performance on certain standardized measures. And based on how they perform on those assessments that school can be rated either high or low. One of the challenges for the public schools is keeping those ratings above where we can become recognized as a state who really, really prepares students because that's really what those ratings say to the greater community and to the greater work. So one of the challenges is how can the university or how can the College of Education carry this current pedagogy, instructional practices, use of technology in teaching and learning to where the problems are? And that's in the public schools to help them to retool or repurpose those teachers so that they can ensure and they can know when students have truly learned something. How can you move away from the public schools just giving this rote kind of memory kind of thing that has really no application for students and they progress up the ladde",Administrator,man
ID8,Standardized Testing,one of the biggest problems is taking that information that I have and answering the questions. That's what I think is one of the things. The other thing I think has to do with your preparation in mathematics.,Administrator,man
ID10,Campus Environment,"understanding the demographic conditions, the population of the San Joaquin Valley, and how that is driving CSUs particularly in the San Joaquin Valley to adjust, to focus, to serve in new, better, different, ways this changing demographic, which is largely a Latino story when you drill down into it",Administrator,man
ID10,Campus Environment,"significant is the growth of the Southeast Asian population in the San Joaquin Valley, particularly Hmong.",Administrator,man
ID10,Campus Environment,"You may be familiar with the San Joaquin Valley, maybe not, but it is a large, large, agricultural and rural area. We have many, many, great schools in the San Joaquin Valley but one of the things about the education system in general is you know they're not all even.",Administrator,man
ID10,Campus Environment,"So, San Joaquin Valley, while it has great schools in the K-12 sector, it's challenged by some being largely, largely, minority, underrepresented minority, many largely agricultural areas, and poor, poorer. So this is our challenge in the San Joaquin Valley to serve that population.",Administrator,man
ID10,Campus Environment,"One of the problems, one of the issues is that in the San Joaquin Valley, it's not an affluent region.",Administrator,man
ID10,Campus Environment,"So they're, some folks say that they're place-bound, or geographic-bound, Stanislaus to the north, Bakersfield to the south, Fresno right in the middle, we're the home. We're the home for many of our students.",Administrator,man
ID10,Campus Environment,"So I think statewide students have been struggling with this for a long time. What's different is now Fresno State is going to be part of that environment where we have to manage our resources in different ways, and we have to increase, improve, our communications to all of those folks who are charged with outreach services, advising relationships, working with that high school. Yes, we're going to have to do all of that.",Administrator,man
ID10,Campus Environment,"My thing is having growing up in the San Joaquin Valley, then worked in southern California for a long time, then coming back and investing here, is I see the San Joaquin Valley as like the last economic frontier in California really, and a great agricultural region, and we do say CSU is an economic engine for the state.",Administrator,man
ID10,Challenges,"Challenged by some being largely, largely, minority, underrepresented minority, many largely agricultural areas, and poor, poorer. So this is our challenge in the San Joaquin Valley to serve that population. Our K-12 friends at -0:06:33.5- schools, they're pressed really, really, hard as well to raise the preparation levels of this population.",Administrator,man
ID10,Challenges,"completion of A-G subjects and a certain level of SAT, a certain level of GPA, and Admissions, then they're deemed CSU eligible. Well, that has been a great challenge for our K-12 counterparts",Administrator,man
ID10,Challenges,"We cannot meet the demand. The demand to get in is exceeding our supply of classrooms, faculty, and all of that, because on the retrenchment side, to receive only 1% growth money each year is just token. It's not doing it. So for the past four years in particular, Fresno State has been denying fully CSU eligible students, denying. There's no space. So four years ago was like 2000 and 3000, 4000. So this coming fall '15, we estimate more than 5000 will be CSU eligible but denied, no space.",Administrator,man
ID10,Challenges,"In fact, in the CSU, as we go through this impaction issue that's come up, of the 23 campuses, we will now be campus number 17 that has to manage enrollment in different ways. We cannot have seats for everyone.",Administrator,man
ID10,Challenges,"So, community college system, with passage of a few years ago, not too long ago, SB1440, are you familiar with that legislation? It guarantees if the community college student has their SA or AA degree, they're guaranteed a seat in the CSU in good standing and all that, they're guaranteed a seat. So that's the funnel. So it's more difficult these days for first time Freshman to go directly from high school. I mean they get in. we still admit more than 3000. This past fall was 3500, and that was like a high mark. But we can't do 3500 again this next fall. We got penalized for doing 3500. We had to pay back, so we were penalized money. We had to pay back because we went over enrollment. So we have to bring that now down to 3200, 3100, alright, but then each year the number of applications grows by several thousand.",Administrator,man
ID10,Challenges,"So the way for students to achieve success is high school needs to make sure that they do what they have to so the students are prepared. Those who are 3.5, 3.8, 4.0, I mean they're going to get in where they want to go. But those who are in the 3.0, 2.5, that marginal, community college, prep, get the preparation, knock down those remediation issues. From our community colleges that come in here, remediation in English need, remediation in Math need is practically 0, 0 or 1%, real low. But for first time Freshman coming in, it's 40-50%.",Administrator,man
ID10,Challenges,"So I think statewide students have been struggling with this for a long time. What's different is now Fresno State is going to be part of that environment where we have to manage our resources in different ways, and we have to increase, improve, our communications to all of those folks who are charged with outreach services, advising relationships, working with that high school. Yes, we're going to have to do all of that.",Administrator,man
ID10,Challenges,"The CSU master plan established enrolment caps, ceilings, for all of the CSUs. Starting back in the 60's. And they revisit it, I don't know when the last time it was revisited here, but for the schools in the San Joaquin Valley, they haven't been, they haven't changed in decades.",Administrator,man
ID10,Cultural Relevance,"majority of our students stay, alright, they're place-bound. They're born here. They're grown here. They have jobs here. They have family, extended families, and all that kind … they're not as mobile as those in southern California or the Bay area.",Administrator,man
ID10,Curriculum,"In California, we have what's called the A-G subject areas.",Administrator,man
ID10,Curriculum,"In K-12, high school graduates, or high schoolers who are going, who are intending to enroll in the CSU or the UC, in order to prepare must complete what are called the A-G subject areas. And A, there are some that are focused on science, some are focused on math, social sciences, and on and on. But the A-G subject area is comprised those advanced college prep type courses. So when we receive an applicant, first time Freshman applicant, those are the things that Admissions is going to take a look at, not just us but everybody across the state universities look at the completion of these courses, and how well they are doing. So our eligibility index then requires completion of A-G subjects and a certain level of SAT, a certain level of GPA, and Admissions, then they're deemed CSU eligible",Administrator,man
ID10,Job Counseling,"admin, staff, faculty, employees who have the rights, because of their job, to view a student record, then they get the most granular system. They can actually pull up grades, students' name, birth, all of that kind of stuff from the visualization tool.",Administrator,man
ID10,Recruitment,"impaction issue that's come up, of the 23 campuses, we will now be campus number 17 that has to manage enrollment",Administrator,man
ID10,Recruitment,"SB1440, are you familiar with that legislation? It guarantees if the community college student has their SA or AA degree, they're guaranteed a seat in the CSU in good standing and all that, they're guaranteed a seat.",Administrator,man
ID10,Recruitment,"So that means that this CSUs, or Cal State Fresno is actually becoming more and more selective, right? And not by design.",Administrator,man
ID10,Recruitment,enrolment caps,Administrator,man
ID10,Recruitment,nrollment and student demographic,Administrator,man
ID10,Resources,"manage our resources in different ways, and we have to increase, improve, our communications to all of those folks who are charged with outreach services, advising relationships, working with that high school",Administrator,man
ID10,Resources,"colleges and departments, we have 8 colleges",Administrator,man
ID10,Resources,"departments, and programs, and colleges who do a pretty good job of tracking where their students go. But that's in a database",Administrator,man
ID10,Standardized Testing,A-G subject area is comprised those advanced college prep type courses.,Administrator,man
ID10,Standardized Testing,"emediation in English need, remediation in Math need is practically 0, 0 or 1%, real low. But for first time Freshman coming in, it's 40-50%.",Administrator,man
ID10,Standardized Testing,"if you have a 3.0 high school GPA, you don't need to submit an SAT.",Administrator,man
ID10,Student Needs,"drive us to learn and develop student support service systems that work. It also drives us to understand the needs of an incoming group that are challenging. Not all are prepared when it comes to, as told by the need for remediation in English, the need for remediation in math, those kinds of things.",Administrator,man
ID10,Support System,PeopleSoft system,Administrator,man
ID10,Support System,"admin, staff, faculty, employees who have the rights, because of their job, to view a student record, then they get the most granular system. They can actually pull up grades, students' name, birth, all of that kind of stuff from the visualization tool.",Administrator,man
