actor_ID,code_ID,role,major,gender,quote,time
8,Utility_Applicability,1st year PhD,psychology,woman,Statistical network analysis is one of many tools that is likely to appear throughout my studies,2
8,Skill_Set_Building,1st year PhD,psychology,woman,It is therefore my priority in taking this course to reach a level of conceptual understanding and skill proficiency that allows me to intelligently discuss and utilize statistical network analysis in my course of study,3
8,Utility_Applicability,1st year PhD,psychology,woman,"In this same spirit, I would like to be able to determine the appropriate utilization of statistical network analysis procedures in research.",4
8,Competitive_Advantage,1st year PhD,psychology,woman,create behavioral networks,5
8,Research_&_Dissertation,1st year PhD,psychology,woman,for example - that we will identify some dynamic mechanisms embedded within empirical observations which prevailing theoretical frameworks fail to capture with the ideal resolution.,6
9,Utility_Applicability,1st year PhD,business,woman,I am focusing on an institutional analysis of nonprofit intermediary college access programs using neo-institutional and organizational theories - which is the organizational data I am using for the SSNA exercises.,1
9,Research_&_Dissertation,1st year PhD,business,woman,I'd like to use SSNA to study the access organization's partnerships and reach within the U.S.   ,2
11,Competitive_Advantage,1st year Masters,quantitative_methods,woman,"ant to learn more about how I can apply quantitative methods to what has previously been though as through qualitative lenses,",1
11,Skill_Set_Building,1st year Masters,quantitative_methods,woman, expect to learn more about how to conceptualize and visualize different types of networks,2
11,Utility_Applicability,1st year Masters,quantitative_methods,woman,I also expect to learn how to use R and manipulate data better,3
13,Competitive_Advantage,1st year Masters,business,man,and how this technique can be used to explain what we need to get across to management/businesses.,1
14,Competitive_Advantage,3rd year PhD_student,social_work,woman,believe that this may prove to be a great method to bring to my field as I'm not away of anyone using it,1
14,Competitive_Advantage,3rd year PhD_student,social_work,woman,"Again, given that I haven't seen much of this method in my particular field and that I think the concept is cool, i would love to be able to make it applicable. ",2
15,Research_&_Dissertation,Post_doctoral fellow,systems_engineering,man,I am taking SNA in R to learn the tools for understanding the role networks play in virtual environments.,1
15,Skill_Set_Building,Post_doctoral fellow,systems_engineering,man,I am taking SNA in R to learn the tools for understanding the role networks play in virtual environments.,2
15,Utility_Applicability,Post_doctoral fellow,systems_engineering,man,I am taking SNA in R to learn the tools for understanding the role networks play in virtual environments.,3
16,Utility_Applicability,"2nd year, PhD_student",game_design,man,to learn how to analyze already existing datasets of computer game data,1
16,Skill_Set_Building,"2nd year, PhD_student",game_design,man,to learn how to analyze already existing datasets of computer game data,2
