order,actor_ID,code_ID,field_cat,collab_num,gender_cat,border_cat,seek_num,code_quote,code_theme
4,ID2,Description of Funders,science and engineering,1,M,not border state,0,"However, really 
developing a physical space in Northwest of Mexico and Sou...",Presence of Funding
5,ID2,Prior Collaboration Experience,science and engineering,1,M,not border state,0,"Oh okay. Yes, but not in a way I've done it. I did it backward. I started.....",Academic Trajectory
6,ID2,Research Interest,science and engineering,1,M,not border state,0,"Yeah. Well, yeah. For example, I studied one of the things that my colleagu...",Academic Trajectory
7,ID2,Professional Experience,science and engineering,1,M,not border state,0,"Well, I...when I was doing my post-doc in California at Scripps UCSD...well...",Academic Trajectory
8,ID2,Personal Relationships,science and engineering,1,M,not border state,0,"Well, I...when I was doing my post-doc in California at Scripps UCSD...well...",Peer-to-Peer
9,ID2,Family Situation,science and engineering,1,M,not border state,0,"Well, in Brazil I mean my wife is Mexican, and in Brazil neither of us 
hav...",Background
10,ID2,Family Situation,science and engineering,1,M,not border state,0,"Yeah, you're right. If my wife haven't been from Mexico then I assumed we 
...",Background
11,ID2,Lack of Interest - Mexico,science and engineering,1,M,not border state,0,"Well, I don't know. one of the problem and this is true to Latin America in...",Challenges
12,ID2,Political/Legal Challenges,science and engineering,1,M,not border state,0,"Well, I don't know. one of the problem and this is true to Latin America in...",Challenges
13,ID2,Cross-Cultural Understanding,science and engineering,1,M,not border state,0,"No, it's not how science is done per say. It's the focus of what you do lik...",Sociocultural and Political Context
14,ID2,Institutional Context,science and engineering,1,M,not border state,0,"Well I mean obviously particularly the university, it's strange even though...",Institutional Context
15,ID2,Personal Relationships,science and engineering,1,M,not border state,0,"Well I mean obviously particularly the university, it's strange even though...",Peer-to-Peer
16,ID2,Personal Relationships,science and engineering,1,M,not border state,0,I would say I initiated them...but like I said the interest was there alrea...,Peer-to-Peer
17,ID2,Academic Meeting/Conference,science and engineering,1,M,not border state,0,I would say I initiated them...but like I said the interest was there alrea...,Peer-to-Peer
18,ID2,Lack of Interest - Mexico,science and engineering,1,M,not border state,0,I have a lot of problem getting people in Mexico interested. It was contrad...,Challenges
19,ID2,Personal Relationships,science and engineering,1,M,not border state,0,I have a lot of problem getting people in Mexico interested. It was contrad...,Peer-to-Peer
20,ID2,Institutional Challenges (Pre),science and engineering,1,M,not border state,0,There are a lot. This probably takes a couple hours...I have...this is true...,Sociocultural and Political Context
21,ID2,Political/Legal Challenges,science and engineering,1,M,not border state,0,There are a lot. This probably takes a couple hours...I have...this is true...,Challenges
22,ID2,Institutional Challenges (Pre),science and engineering,1,M,not border state,0,"Individual. It was me. Basically me and my colleagues in U of A, and northe...",Sociocultural and Political Context
23,ID2,Lack of Interest - USA,science and engineering,1,M,not border state,0,"I would say normally they expressed the idea...I don't want to say it's 
ma...",Challenges
24,ID2,Institutional Context,science and engineering,1,M,not border state,0,"I would say normally they expressed the idea...I don't want to say it's 
ma...",Institutional Context
25,ID2,Lack of Interest - USA,science and engineering,1,M,not border state,0,The US is just an entirely different system...you know in the US it's kind ...,Challenges
1,ID10,Institutional Context,education,1,M,border state,0,"Correct. I’m now my job, I’m retired after being there 26 years and for a l...",Institutional Context
2,ID10,Personal Relationships,education,1,M,border state,0,"Correct. I’m now my job, I’m retired after being there 26 years and for a l...",Peer-to-Peer
3,ID10,Collaboration Examples,education,1,M,border state,0,"Yeah that’s right, it’s a project started by national lab and it’s working ...",Definition of Collaboration
4,ID10,Institutional Context,education,1,M,border state,0, don’t know if you are familiar of with the technology to then and so in or...,Institutional Context
5,ID10,Undergraduate Programs,education,1,M,border state,0, don’t know if you are familiar of with the technology to then and so in or...,Student Programs
6,ID10,Undergraduate Programs,education,1,M,border state,0,Ok so we are trying to do it by looking at a project see how we can avoid t...,Student Programs
7,ID10,Institutional Context,education,1,M,border state,0,Ok so we are trying to do it by looking at a project see how we can avoid t...,Institutional Context
8,ID10,Collaboration Examples,education,1,M,border state,0,"An example of kind of a agenda we have at also, that we also have something...",Definition of Collaboration
9,ID10,Undergraduate Programs,education,1,M,border state,0,"See, once is to students arrive to the university and they come from differ...",Student Programs
10,ID10,Institutional Context,education,1,M,border state,0,Oh no! And the thing is uh for example one area of topics the area of educa...,Institutional Context
11,ID10,Collaboration Examples,education,1,M,border state,0,Well here I can tell you the experience in usually the we typically you hav...,Definition of Collaboration
12,ID10,Collaboration Outcomes,education,1,M,border state,0,Well here I can tell you the experience in usually the we typically you hav...,Definition of Collaboration
13,ID10,Institutional Challenges (Pre),education,1,M,border state,0,"Well, I think if have a problem, if any is a problem ha, so if Mexico was a...",Sociocultural and Political Context
14,ID10,Political/Legal Challenges,education,1,M,border state,0,"Well, I think if have a problem, if any is a problem ha, so if Mexico was a...",Challenges
15,ID10,Funding Difficulties,education,1,M,border state,0,"Well, I think if have a problem, if any is a problem ha, so if Mexico was a...",Presence of Funding
16,ID10,Prior Collaboration Experience,education,1,M,border state,0,"Oh, I think that they could take place with many countries. What has happen...",Academic Trajectory
17,ID10,Cross-Cultural Understanding,education,1,M,border state,0,"Oh, I think that they could take place with many countries. What has happen...",Sociocultural and Political Context
18,ID10,Institutional Context,education,1,M,border state,0,Ok. The answer to your question is not a random system. It’s nothing that o...,Institutional Context
19,ID10,Political/Legal Challenges,education,1,M,border state,0,"Sure! Because of all the, our challenges right now is to find money from or...",Challenges
20,ID10,Funding Difficulties,education,1,M,border state,0,"Sure! Because of all the, our challenges right now is to find money from or...",Presence of Funding
21,ID10,Personality/Status Conflict,education,1,M,border state,0,"Well, with the recommendation you have to talk, make the people aware why i...",Peer-to-Peer
22,ID10,Cross-Cultural Understanding,education,1,M,border state,0,"Well, with the recommendation you have to talk, make the people aware why i...",Sociocultural and Political Context
23,ID10,Collaboration Examples,education,1,M,border state,0,"I am going to give another example now, NAFTA. I was in NAFTA, I participat...",Definition of Collaboration
24,ID10,Personality/Status Conflict,education,1,M,border state,0,"I am going to give another example now, NAFTA. I was in NAFTA, I participat...",Peer-to-Peer
25,ID10,Cross-Cultural Understanding,education,1,M,border state,0,"o for the people, why we have to collaborate it is not any good without som...",Sociocultural and Political Context
26,ID10,Disciplinary Barriers,education,1,M,border state,0,"o for the people, why we have to collaborate it is not any good without som...",Disciplinary
1,ID4,Collaboration Examples,biological science,1,M,border state,1,There are two parts. One is technical like whenever I have some technique a...,Definition of Collaboration
2,ID4,Research Interest,biological science,1,M,border state,1,So with Mexico…in the last two years I have two. One is a funded grant thro...,Academic Trajectory
3,ID4,Personal Relationships,biological science,1,M,border state,1,So with Mexico…in the last two years I have two. One is a funded grant thro...,Peer-to-Peer
4,ID4,Academic Meeting/Conference,biological science,1,M,border state,1,So with Mexico…in the last two years I have two. One is a funded grant thro...,Peer-to-Peer
5,ID4,Description of Funders,biological science,1,M,border state,1,So with Mexico…in the last two years I have two. One is a funded grant thro...,Presence of Funding
6,ID4,Research Interest,biological science,1,M,border state,1,The fractional theoretical mind have been driven by these very young studen...,Academic Trajectory
7,ID4,Disciplinary Culture,biological science,1,M,border state,1,Is it very common path or typical of people in your discipline to engage in...,Disciplinary
8,ID4,Disciplinary Barriers,biological science,1,M,border state,1,Is it very common path or typical of people in your discipline to engage in...,Disciplinary
9,ID4,Funding Difficulties,biological science,1,M,border state,1,Is it very common path or typical of people in your discipline to engage in...,Presence of Funding
10,ID4,Doctoral Research,biological science,1,M,border state,1,"One is I am in San Antonio, and Mexico is very closed by. For whatever reas...",Student Programs
11,ID4,Personal Relationships,biological science,1,M,border state,1,"One is I am in San Antonio, and Mexico is very closed by. For whatever reas...",Peer-to-Peer
12,ID4,Personal Relationships,biological science,1,M,border state,1,"
Fidel
Yeah…the one in the De Cruz is over the phone, I didn’t know the per...",Peer-to-Peer
13,ID4,Successful Funding,biological science,1,M,border state,1,"
Fidel
Yeah…the one in the De Cruz is over the phone, I didn’t know the per...",Presence of Funding
14,ID4,Funding Difficulties,biological science,1,M,border state,1,"It’s difficult to say, but I can say that Mexican students are highly motiv...",Presence of Funding
15,ID4,Personal Relationships,biological science,1,M,border state,1,"Well, I speak Spanish so that is important, reduce some barriers. The facil...",Peer-to-Peer
16,ID4,Cross-Cultural Understanding,biological science,1,M,border state,1,"Well, I speak Spanish so that is important, reduce some barriers. The facil...",Sociocultural and Political Context
17,ID4,Institutional Failures (Post),biological science,1,M,border state,1,I think…I have very little concerns right now. I thought I could do more of...,Institution-to-Institution
18,ID4,Personal Relationships,biological science,1,M,border state,1,"Driven by us, the researchers....",Peer-to-Peer
19,ID4,Institutional Context,biological science,1,M,border state,1,How interested and/or supportive is your institution/department/program in ...,Institutional Context
20,ID4,Lack of Interest - USA,biological science,1,M,border state,1,How interested and/or supportive is your institution/department/program in ...,Challenges
21,ID4,Institutional Challenges (Pre),biological science,1,M,border state,1,How interested and/or supportive is your institution/department/program in ...,Sociocultural and Political Context
22,ID4,Institutional Context,biological science,1,M,border state,1,To what extent are students at your institution interested in pursuing proj...,Institutional Context
23,ID4,Institutional Challenges (Pre),biological science,1,M,border state,1,To what extent are students at your institution interested in pursuing proj...,Sociocultural and Political Context
24,ID4,Personality/Status Conflict,biological science,1,M,border state,1,I think there is more interested in just getting their own grants. My colle...,Peer-to-Peer
25,ID4,Disciplinary Culture,biological science,1,M,border state,1,"I think they have this thing as I mentioned in the Humanity side, but I don...",Disciplinary
26,ID4,Undergraduate Programs,biological science,1,M,border state,1,"I think if there were, more exchange programs promoted. The science allows ...",Student Programs
27,ID4,Institutional Challenges (Pre),biological science,1,M,border state,1,"I think if there were, more exchange programs promoted. The science allows ...",Sociocultural and Political Context
28,ID4,Institutional Context,biological science,1,M,border state,1,"I think if there were, more exchange programs promoted. The science allows ...",Institutional Context
29,ID4,Institutional Challenges (Pre),biological science,1,M,border state,1,"Several years ago, they tried to have a collaboration with UNAM to move peo...",Sociocultural and Political Context
30,ID4,Institutional Context,biological science,1,M,border state,1,"Several years ago, they tried to have a collaboration with UNAM to move peo...",Institutional Context
31,ID4,Funding Difficulties,biological science,1,M,border state,1,A continuation of the funding of Contact. The ??? (22:06) legislature meeti...,Presence of Funding
32,ID4,Political/Legal Challenges,biological science,1,M,border state,1,A continuation of the funding of Contact. The ??? (22:06) legislature meeti...,Challenges
33,ID4,Cross-Cultural Understanding,biological science,1,M,border state,1,On the Mexican side is the politics. They told me it’s impossible to work. ...,Sociocultural and Political Context
34,ID4,Undergraduate Programs,biological science,1,M,border state,1,On the Mexican side is the politics. They told me it’s impossible to work. ...,Student Programs
35,ID4,Successful Funding,biological science,1,M,border state,1,I think sometimes it’s easier to collaborate with Mexico because it’s very ...,Presence of Funding
36,ID4,Institutional Successes,biological science,1,M,border state,1,I think…like what I said in the beginning is closed and it’s easy to bring ...,Institution-to-Institution
37,ID4,Lack of Interest - Mexico,biological science,1,M,border state,1,I think…other countries the way you talk about things is more open…it’s mor...,Challenges
38,ID4,Cross-Cultural Understanding,biological science,1,M,border state,1,I think…other countries the way you talk about things is more open…it’s mor...,Sociocultural and Political Context
39,ID4,Funding Difficulties,biological science,1,M,border state,1,I think…other countries the way you talk about things is more open…it’s mor...,Presence of Funding
40,ID4,Description of Funders,biological science,1,M,border state,1,"with NSF, there is this program calls CRCNS, Collaborative Research Computa...",Presence of Funding
41,ID4,Disciplinary Culture,biological science,1,M,border state,1,"with NSF, there is this program calls CRCNS, Collaborative Research Computa...",Disciplinary
42,ID4,Disciplinary Culture,biological science,1,M,border state,1,"I don’t know, there are few computational neuroscience in Mexico. I think i...",Disciplinary
43,ID4,Political/Legal Challenges,biological science,1,M,border state,1,"In the past, like two years ago, it didn’t matter. Right now, the uncertain...",Challenges
44,ID4,Successful Funding,biological science,1,M,border state,1,"I think that depend of what we get from the research. For example, if we fo...",Presence of Funding
45,ID4,Successful Funding,biological science,1,M,border state,1,"Right. There will be applied for grants here. For example, the people in De...",Presence of Funding
46,ID4,Professional Experience,biological science,1,M,border state,1,"Personally, I am very motivated. There are some roadblocks ahead but Mexico...",Academic Trajectory
47,ID4,Research Interest,biological science,1,M,border state,1,"Personally, I am very motivated. There are some roadblocks ahead but Mexico...",Academic Trajectory
1,ID63,Collaboration Examples,science and engineering,1,M,not border state,0,"Okay. I started working in Latin America because I was interested in, durin...",Definition of Collaboration
2,ID63,Collaboration Examples,science and engineering,1,M,not border state,0,"Bolivia the same thing, and in Mexico, also started working with funding fr...",Definition of Collaboration
3,ID63,Funding Difficulties,science and engineering,1,M,not border state,0,"Which is something that ... You have funding from NSF, that's only four yea...",Presence of Funding
4,ID63,Successful Funding,science and engineering,1,M,not border state,0,"Which is something that ... You have funding from NSF, that's only four yea...",Presence of Funding
5,ID63,Professional Experience,science and engineering,1,M,not border state,0,"That I have my own expertise, and my skills, and my own interests. If there...",Academic Trajectory
6,ID63,Funding Difficulties,science and engineering,1,M,not border state,0,"And when ... well, you know the situation in the United States. The funding...",Presence of Funding
7,ID63,Funding Difficulties,science and engineering,1,M,not border state,0,Yeah. It's sort of just like to develop something out of scratch. It's very...,Presence of Funding
8,ID63,Successful Funding,science and engineering,1,M,not border state,0,Yeah. It's sort of just like to develop something out of scratch. It's very...,Presence of Funding
9,ID63,Political/Legal Challenges,science and engineering,1,M,not border state,0,"But in the 90s, when Al Gore was Vice President, there was so much support ...",Challenges
10,ID63,Academic Meeting/Conference,science and engineering,1,M,not border state,0,I follow two models. Back in the 90s when I started working in Bolivia and ...,Peer-to-Peer
11,ID63,Collaboration Examples,science and engineering,1,M,not border state,0,And I have had three people doing sabbaticals from major universities. They...,Definition of Collaboration
12,ID63,Cross-Cultural Understanding,science and engineering,1,M,not border state,0,"Language is one of them, and also I love Latin America.
Roxana:
In the bloo...",Sociocultural and Political Context
13,ID63,Collaboration Examples,science and engineering,1,M,not border state,0,"I'm interested in working on conservation, protected areas. Management of f...",Definition of Collaboration
14,ID63,Research Interest,science and engineering,1,M,not border state,0,Of course that calls my attention because over the long term ... and the Ma...,Academic Trajectory
15,ID63,Research Interest,science and engineering,1,M,not border state,0,"I'm interested in working on conservation, protected areas. Management of f...",Academic Trajectory
16,ID63,Research Interest,science and engineering,1,M,not border state,0,One of the places I've been working in Mexico is the Monarch butterfly rese...,Academic Trajectory
17,ID63,Cross-Cultural Understanding,science and engineering,1,M,not border state,0,"The forest was there, but the people were taking care of those forests. Now...",Sociocultural and Political Context
18,ID63,Research Interest,science and engineering,1,M,not border state,0,So that's all some kind of examples. So that's why I'm interested in the .....,Academic Trajectory
19,ID63,Successful Funding,science and engineering,1,M,not border state,0,"No. Probably not. Some of these idea, they also have those ideas in those c...",Presence of Funding
20,ID63,Funding Difficulties,science and engineering,1,M,not border state,0,"No. Probably not. Some of these idea, they also have those ideas in those c...",Presence of Funding
21,ID63,Cross-Cultural Understanding,science and engineering,1,M,not border state,0,"Mexico ... Well Mexico and Latin America, in general, is the human populati...",Sociocultural and Political Context
22,ID63,Cross-Cultural Understanding,science and engineering,1,M,not border state,0,Any experience working with people in communities around the United States?...,Sociocultural and Political Context
23,ID63,Cross-Cultural Understanding,science and engineering,1,M,not border state,0,"Yeah. It's ... Some people think, or they have experience that it's difficu...",Sociocultural and Political Context
24,ID63,Institutional Challenges (Pre),science and engineering,1,M,not border state,0,"Yeah. It's ... Some people think, or they have experience that it's difficu...",Sociocultural and Political Context
25,ID63,Political/Legal Challenges,science and engineering,1,M,not border state,0,"Yeah. It's ... Some people think, or they have experience that it's difficu...",Challenges
26,ID63,Political/Legal Challenges,science and engineering,1,M,not border state,0,"There are no one standard. Federal lands, they have one standard. Forest Se...",Challenges
