actor_ID,code_ID,quote,Evolution,Personal_Attribute,Job_Attribute,Role
ID21,enjoy_teaching,"Um, my hobby is almost being, uh, in the business. Yeah, I did recently, but we had to be in her house and move out for a few months. And, uh, prior to that, I had probably about 1000 books. Now, I'm counting back, way back. But it's, it's a hobby as well.",5,Gender: Woman<br>Single or divorced?: No<br>Seniority level: Senior,Retirement?: Yes<br>Insured: Yes<br>Availability of provider: Other<br>Worried: Yes<br>Knowledgeable?: Yes,Respondent
ID21,wont_be_able_retire,"Well I don't, I don't think I'll ever be able to afford to retire. Um, it's just the way life works for me. But, uh, my life is stable, I got a good family, so, um, I guess I'm not worried about it at this point.",6,Gender: Woman<br>Single or divorced?: No<br>Seniority level: Senior,Retirement?: Yes<br>Insured: Yes<br>Availability of provider: Other<br>Worried: Yes<br>Knowledgeable?: Yes,Respondent
ID21,hard_to_save,"It's not necessarily an easy thing to do. If you're, if you come out of college. And uh, you're saving, man, um, I'm not saying you should have a million dollars or whatever, but I got out of college really well.",7,Gender: Woman<br>Single or divorced?: No<br>Seniority level: Senior,Retirement?: Yes<br>Insured: Yes<br>Availability of provider: Other<br>Worried: Yes<br>Knowledgeable?: Yes,Respondent
ID3,full-time,I'm on a one year contract which year by year. And...,1,Gender: Man<br>Single or divorced?: Yes<br>Seniority level: Senior,Retirement?: Yes<br>Insured: Yes<br>Availability of provider: other_state<br>Worried: No<br>Knowledgeable?: No,Respondent
ID3,offered_benefits,Although attracting to me working for state univer...,2,Gender: Man<br>Single or divorced?: Yes<br>Seniority level: Senior,Retirement?: Yes<br>Insured: Yes<br>Availability of provider: other_state<br>Worried: No<br>Knowledgeable?: No,Respondent
ID3,currently_w_retirement_prim,"It's the highest level, you know. 					
I. Sure. ...",3,Gender: Man<br>Single or divorced?: Yes<br>Seniority level: Senior,Retirement?: Yes<br>Insured: Yes<br>Availability of provider: other_state<br>Worried: No<br>Knowledgeable?: No,Respondent
ID3,independent_savings, like for 4O1K or IRA (Air A?) options available f...,4,Gender: Man<br>Single or divorced?: Yes<br>Seniority level: Senior,Retirement?: Yes<br>Insured: Yes<br>Availability of provider: other_state<br>Worried: No<br>Knowledgeable?: No,Respondent
ID3,independent_savings, And I do have a retirement benefit by that I have...,5,Gender: Man<br>Single or divorced?: Yes<br>Seniority level: Senior,Retirement?: Yes<br>Insured: Yes<br>Availability of provider: other_state<br>Worried: No<br>Knowledgeable?: No,Respondent
ID3,retire_from_FT_keep_adjct,"I mean, um, as long as I'm working, that's fine. U...",6,Gender: Man<br>Single or divorced?: Yes<br>Seniority level: Senior,Retirement?: Yes<br>Insured: Yes<br>Availability of provider: other_state<br>Worried: No<br>Knowledgeable?: No,Respondent
ID3,independent_savings,I have an excellent job. You have two options. And...,7,Gender: Man<br>Single or divorced?: Yes<br>Seniority level: Senior,Retirement?: Yes<br>Insured: Yes<br>Availability of provider: other_state<br>Worried: No<br>Knowledgeable?: No,Respondent
